               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.066312,             0.16918,            0.030509,             0.58881,             0.46741,             0.29548,             0.10371,            0.050091,             0.15083,             0.02956,           0.0025632,           0.0025632,            0.070163
                  65,            0.065485,             0.17092,            0.030436,             0.59761,             0.45593,             0.30602,             0.12927,            0.045478,             0.14848,            0.029588,           0.0025831,           0.0025831,            0.069683
                  66,            0.065118,             0.17806,            0.030702,             0.58057,             0.51439,              0.2998,             0.15683,            0.040252,             0.14898,            0.029679,           0.0026021,           0.0026021,            0.069202
                  67,            0.064972,             0.17408,            0.030465,             0.59509,             0.50485,             0.30611,             0.13412,            0.044599,             0.14896,            0.029485,           0.0026203,           0.0026203,             0.06872
                  68,              0.0646,             0.17502,            0.030333,             0.60055,             0.47797,              0.2958,             0.16383,            0.039539,              0.1544,            0.029424,           0.0026378,           0.0026378,            0.068238
                  69,            0.066024,             0.17246,            0.030221,             0.59997,             0.49921,             0.31131,             0.13087,            0.044472,             0.14601,            0.029361,           0.0026544,           0.0026544,            0.067754
                  70,            0.064844,             0.17151,            0.030207,             0.59563,             0.43568,             0.28647,             0.11266,            0.048567,             0.16549,            0.029559,           0.0026702,           0.0026702,             0.06727
                  71,            0.064257,             0.17164,            0.030161,             0.59949,             0.44984,             0.30591,             0.15722,            0.040911,             0.14409,            0.029312,           0.0026852,           0.0026852,            0.066785
                  72,            0.064473,             0.17639,            0.030439,             0.59539,             0.51016,             0.30975,             0.14249,            0.044954,             0.15627,            0.029435,           0.0026994,           0.0026994,            0.066299
                  73,            0.064557,             0.16915,            0.030149,             0.59799,             0.49963,             0.30962,             0.15316,            0.040276,             0.14348,            0.029235,           0.0027128,           0.0027128,            0.065813
                  74,            0.063742,             0.17801,            0.030548,             0.59061,              0.4944,             0.30712,             0.14133,             0.04261,             0.14572,            0.029272,           0.0027254,           0.0027254,            0.065325
                  75,            0.063893,             0.18039,             0.03051,             0.55919,             0.45749,             0.26824,             0.14228,            0.037409,             0.14982,            0.029163,           0.0027372,           0.0027372,            0.064837
                  76,            0.065285,             0.17313,            0.030279,             0.60814,             0.45458,             0.31622,             0.16521,            0.037729,             0.14436,            0.029023,           0.0027481,           0.0027481,            0.064348
                  77,             0.06315,             0.17472,            0.030086,             0.61415,             0.47421,             0.31871,             0.12515,            0.043382,             0.13846,            0.028999,           0.0027583,           0.0027583,            0.063858
                  78,            0.063039,             0.18012,            0.030179,             0.58921,             0.52699,             0.30506,             0.17023,            0.035617,             0.14987,            0.029288,           0.0027676,           0.0027676,            0.063368
                  79,            0.064931,             0.17617,            0.030454,             0.59384,              0.5239,             0.31241,             0.17188,            0.035307,             0.14139,            0.029081,           0.0027761,           0.0027761,            0.062876
                  80,            0.064144,             0.17121,            0.030111,             0.61137,             0.49861,             0.32687,             0.14691,            0.039133,             0.13928,            0.028958,           0.0027838,           0.0027838,            0.062384
                  81,            0.063452,             0.16944,            0.030081,             0.60124,             0.50013,             0.32694,             0.17237,            0.036757,             0.14451,            0.028902,           0.0027907,           0.0027907,            0.061891
                  82,            0.061967,             0.17295,             0.03042,             0.61579,             0.48303,             0.32497,             0.15414,            0.041627,             0.14475,            0.028949,           0.0027968,           0.0027968,            0.061397
                  83,            0.063649,             0.17595,            0.030134,             0.60126,             0.50466,              0.3312,             0.12672,            0.044577,             0.14021,            0.028774,            0.002802,            0.002802,            0.060902
                  84,            0.062189,             0.16455,            0.030046,             0.60751,             0.52134,             0.33603,             0.13105,            0.043715,             0.13733,            0.028841,           0.0028065,           0.0028065,            0.060407
                  85,            0.062188,             0.16423,            0.029871,             0.59876,             0.45087,             0.31248,            0.097103,            0.050679,             0.14842,            0.028622,           0.0028102,           0.0028102,             0.05991
                  86,            0.061877,             0.17324,            0.029872,             0.61068,             0.50679,             0.33585,              0.1459,            0.043676,             0.14502,             0.02883,            0.002813,            0.002813,            0.059413
                  87,            0.062821,             0.16899,            0.029937,             0.59533,             0.48876,             0.30819,            0.068237,            0.055869,             0.13319,            0.028788,           0.0028151,           0.0028151,            0.058915
                  88,            0.060926,             0.17286,            0.030086,             0.61541,             0.50252,             0.34856,             0.17589,            0.036491,             0.14784,            0.028983,           0.0028164,           0.0028164,            0.058416
                  89,            0.062953,             0.16811,            0.030053,             0.62121,             0.48838,             0.36379,             0.16043,            0.042078,             0.13445,            0.028619,           0.0028169,           0.0028169,            0.057917
                  90,             0.06168,             0.16958,            0.029967,             0.62771,              0.4773,             0.35846,             0.15524,            0.041534,             0.13697,            0.028656,           0.0028166,           0.0028166,            0.057417
                  91,            0.060762,             0.16972,            0.029792,             0.61086,             0.49036,             0.34926,             0.20062,            0.034645,             0.13448,            0.028792,           0.0028155,           0.0028155,            0.056916
                  92,            0.061425,             0.16457,            0.029989,             0.61821,             0.48717,             0.36257,             0.16113,            0.041278,             0.13334,            0.028476,           0.0028137,           0.0028137,            0.056414
                  93,            0.061579,             0.16856,            0.030035,             0.26329,              0.7264,             0.35544,             0.17318,            0.040026,             0.13371,            0.028544,           0.0028111,           0.0028111,            0.055911
                  94,            0.060562,             0.16793,            0.030477,             0.61283,             0.51872,             0.35556,             0.18344,            0.039707,             0.13253,            0.028711,           0.0028077,           0.0028077,            0.055408
                  95,            0.060128,              0.1721,            0.030162,             0.61542,             0.51401,             0.36646,             0.21298,            0.033177,             0.13201,            0.028408,           0.0028036,           0.0028036,            0.054904
                  96,             0.06028,             0.18304,            0.029921,             0.62133,             0.51363,             0.38333,             0.20587,            0.036001,             0.13156,             0.02846,           0.0027988,           0.0027988,            0.054399
                  97,             0.06136,             0.16665,            0.030031,             0.60855,             0.51956,             0.38348,             0.20189,            0.036397,             0.13004,            0.028206,           0.0027932,           0.0027932,            0.053893
                  98,            0.061958,             0.16637,             0.02994,              0.2457,             0.72788,              0.3532,              0.1284,             0.04555,             0.13413,            0.028513,           0.0027868,           0.0027868,            0.053387
                  99,            0.059609,             0.17373,            0.030053,             0.25508,             0.72939,             0.37455,             0.18953,            0.035787,             0.13218,             0.02777,           0.0027798,           0.0027798,             0.05288
                 100,            0.063607,             0.16732,            0.029815,             0.53765,             0.32962,             0.25084,            0.081587,            0.051971,             0.12845,            0.027842,            0.002772,            0.002772,            0.052372
                 101,            0.071446,             0.16791,            0.030025,             0.61721,             0.51156,             0.38313,             0.17064,            0.039256,             0.12999,            0.027973,           0.0027635,           0.0027635,            0.051864
                 102,            0.069685,             0.15411,            0.029437,              0.5346,             0.37019,             0.27055,             0.08268,            0.044816,             0.13056,            0.027908,           0.0027543,           0.0027543,            0.051354
                 103,            0.065985,             0.16314,            0.029963,             0.22547,               0.748,             0.32804,             0.15799,             0.04555,             0.13329,            0.027761,           0.0027445,           0.0027445,            0.050844
                 104,            0.068464,             0.15818,            0.029691,             0.22807,             0.61703,             0.21889,            0.062998,             0.06331,             0.12628,            0.027715,           0.0027339,           0.0027339,            0.050334
                 105,            0.068241,             0.17514,             0.02984,             0.62398,             0.52629,             0.38609,             0.13628,             0.04543,              0.1321,            0.028149,           0.0027227,           0.0027227,            0.049823
                 106,            0.062974,             0.16769,            0.030014,              0.5741,             0.43014,             0.32487,              0.1017,            0.054361,             0.12889,            0.027928,           0.0027109,           0.0027109,            0.049311
                 107,            0.066028,             0.16743,            0.029687,             0.26646,             0.75111,             0.39319,             0.18528,            0.038474,             0.12906,            0.027783,           0.0026983,           0.0026983,            0.048798
                 108,            0.060626,             0.16597,            0.029676,             0.63596,             0.47879,              0.3942,             0.15358,              0.0441,             0.12689,            0.027691,           0.0026852,           0.0026852,            0.048285
                 109,            0.063187,             0.16456,            0.029794,             0.26891,             0.75675,             0.39011,             0.15891,            0.043199,             0.12756,              0.0275,           0.0026714,           0.0026714,            0.047771
                 110,            0.063852,             0.16638,            0.029523,             0.59323,             0.50887,             0.35987,             0.10773,            0.050977,             0.13082,            0.028092,            0.002657,            0.002657,            0.047257
                 111,            0.065166,             0.16106,            0.029739,             0.28372,             0.77823,             0.43739,              0.2219,            0.038227,             0.12814,            0.027446,            0.002642,            0.002642,            0.046742
                 112,            0.062105,             0.17348,            0.029934,             0.64093,             0.46606,             0.41886,             0.11807,            0.050457,             0.13127,            0.027496,           0.0026264,           0.0026264,            0.046226
                 113,            0.065562,             0.15986,            0.029657,             0.28384,             0.74566,             0.43692,             0.18444,            0.039614,             0.12584,            0.027276,           0.0026103,           0.0026103,             0.04571
                 114,            0.061428,             0.15848,            0.029227,             0.64365,              0.4258,             0.39794,             0.11358,            0.051428,             0.12286,            0.027253,           0.0025935,           0.0025935,            0.045194
                 115,            0.068557,             0.16105,            0.029662,             0.27006,             0.79671,             0.43302,             0.22752,             0.03248,             0.12603,              0.0272,           0.0025763,           0.0025763,            0.044676
                 116,            0.060833,             0.17056,            0.029462,             0.66466,              0.4729,             0.44823,             0.23079,            0.032803,             0.12537,            0.027259,           0.0025584,           0.0025584,            0.044158
                 117,            0.059883,             0.17365,            0.029724,             0.27892,             0.76932,             0.44214,             0.14682,            0.045448,             0.12682,            0.027248,           0.0025401,           0.0025401,             0.04364
                 118,            0.060337,             0.16747,            0.029609,             0.29706,             0.74936,             0.41826,             0.14213,            0.045131,             0.12882,            0.027056,           0.0025213,           0.0025213,            0.043121
                 119,            0.062066,             0.16191,            0.028982,             0.28433,             0.76096,             0.43126,             0.20448,            0.035932,             0.12747,            0.026824,           0.0025019,           0.0025019,            0.042602
                 120,            0.060876,             0.16056,            0.029787,             0.65628,             0.46935,              0.4289,             0.12938,            0.046763,             0.12462,            0.026674,           0.0024821,           0.0024821,            0.042082
                 121,            0.067775,             0.16001,             0.02932,             0.67585,              0.4477,             0.44195,             0.25936,            0.032794,             0.12646,             0.02684,           0.0024618,           0.0024618,            0.041562
                 122,            0.059812,             0.16182,            0.029232,             0.30664,             0.73524,             0.46272,             0.25703,            0.032049,             0.12578,            0.026836,           0.0024411,           0.0024411,            0.041041
                 123,            0.057138,             0.16707,            0.029142,             0.67822,             0.48908,             0.47389,             0.21522,            0.037032,             0.12734,            0.026744,           0.0024199,           0.0024199,             0.04052
                 124,            0.060663,              0.1685,            0.029515,             0.66687,             0.50178,             0.46485,             0.16136,            0.046362,             0.12612,            0.026784,           0.0023983,           0.0023983,            0.039998
