               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.076453,             0.17208,            0.030431,             0.48866,             0.35674,             0.16045,            0.049525,            0.060078,             0.17459,            0.030032,           0.0025831,           0.0025831,            0.069683
                  66,            0.075733,             0.17819,            0.030371,              0.4944,             0.33504,              0.1506,            0.041869,            0.060544,             0.18109,            0.029937,           0.0026021,           0.0026021,            0.069202
                  67,            0.075047,             0.17345,            0.030579,             0.49749,             0.31944,             0.15264,            0.041376,            0.061557,             0.16771,            0.030033,           0.0026203,           0.0026203,             0.06872
                  68,              0.0753,             0.16872,            0.030792,             0.50203,              0.3561,             0.16927,            0.048188,            0.059757,             0.16579,            0.029942,           0.0026378,           0.0026378,            0.068238
                  69,            0.075094,             0.17814,            0.030769,              0.5007,              0.3428,             0.16216,            0.041819,            0.061876,             0.16491,            0.029982,           0.0026544,           0.0026544,            0.067754
                  70,            0.074557,             0.17503,            0.030732,             0.53628,             0.32408,             0.19685,            0.070764,            0.054305,             0.17029,            0.029874,           0.0026702,           0.0026702,             0.06727
                  71,            0.074997,             0.17648,            0.030901,              0.5295,             0.32466,             0.18722,            0.059983,            0.055511,             0.16459,            0.029937,           0.0026852,           0.0026852,            0.066785
                  72,            0.073232,             0.16747,              0.0309,             0.51007,             0.36538,             0.18495,            0.050218,            0.057945,             0.16473,            0.029926,           0.0026994,           0.0026994,            0.066299
                  73,            0.072851,             0.17718,            0.030774,             0.53739,             0.37177,             0.21427,            0.078999,            0.052474,             0.17243,            0.029903,           0.0027128,           0.0027128,            0.065813
                  74,            0.072868,             0.18102,            0.030451,             0.53673,             0.37326,             0.21326,            0.074804,            0.052255,               0.169,            0.029841,           0.0027254,           0.0027254,            0.065325
                  75,            0.073604,             0.16934,              0.0304,             0.52918,             0.38989,             0.20871,            0.063272,            0.054478,             0.16161,            0.029898,           0.0027372,           0.0027372,            0.064837
                  76,            0.072942,             0.16124,            0.030911,             0.51791,             0.41392,             0.20601,             0.05714,            0.055762,             0.16031,            0.029885,           0.0027481,           0.0027481,            0.064348
                  77,            0.072568,             0.17672,            0.030944,             0.55528,             0.35023,              0.2251,            0.077862,            0.052097,             0.16406,            0.029799,           0.0027583,           0.0027583,            0.063858
                  78,            0.070817,             0.16349,            0.030534,             0.52731,             0.36462,             0.21215,            0.079741,            0.050452,             0.16047,            0.029826,           0.0027676,           0.0027676,            0.063368
                  79,            0.072027,             0.17661,            0.030858,             0.54092,             0.37351,             0.22065,            0.071455,            0.052002,             0.16577,            0.029831,           0.0027761,           0.0027761,            0.062876
                  80,            0.071824,             0.17497,            0.030381,             0.54256,             0.40915,               0.224,            0.064363,            0.053276,             0.16693,            0.029815,           0.0027838,           0.0027838,            0.062384
                  81,            0.072198,             0.17238,            0.030733,             0.55692,             0.37292,             0.22932,            0.081369,             0.05071,             0.17043,            0.029783,           0.0027907,           0.0027907,            0.061891
                  82,            0.071905,              0.1738,            0.030387,             0.55354,             0.41265,             0.23044,            0.066879,            0.052528,             0.16126,            0.029825,           0.0027968,           0.0027968,            0.061397
                  83,            0.070907,             0.16881,            0.030621,             0.54881,             0.39449,             0.23243,            0.072169,            0.054036,             0.15515,            0.029823,            0.002802,            0.002802,            0.060902
                  84,            0.071308,             0.17229,             0.03056,             0.54462,             0.41593,             0.23059,            0.068461,            0.053666,             0.15476,            0.029815,           0.0028065,           0.0028065,            0.060407
                  85,            0.070107,             0.16322,            0.030301,              0.5422,             0.43699,              0.2387,            0.093407,             0.04839,             0.15978,            0.029832,           0.0028102,           0.0028102,             0.05991
                  86,            0.071125,               0.173,            0.030509,             0.53066,             0.46017,             0.22895,            0.084664,            0.048216,              0.1607,            0.029752,            0.002813,            0.002813,            0.059413
                  87,            0.070859,             0.17364,            0.030559,             0.54636,             0.43112,             0.23696,            0.083137,            0.050294,             0.15788,            0.029651,           0.0028151,           0.0028151,            0.058915
                  88,            0.069924,             0.17312,            0.030374,              0.5601,             0.42179,             0.24392,            0.080365,            0.051329,              0.1541,            0.029659,           0.0028164,           0.0028164,            0.058416
                  89,            0.070358,             0.17436,            0.030393,             0.56411,             0.38524,             0.24128,            0.077963,            0.050777,             0.15693,            0.029677,           0.0028169,           0.0028169,            0.057917
                  90,            0.068994,             0.17249,            0.030619,             0.56254,             0.40563,              0.2511,            0.083107,             0.05002,             0.15879,            0.029672,           0.0028166,           0.0028166,            0.057417
